table_name,column_name,description
dim_date,,"Standard date dimension used to slice sales and replenishment trends by day, weekend, month, and quarter."
dim_date,date_key,"Surrogate date key in yyyymmdd form (e.g., 20250115). Joins to fact_sales.date_key."
dim_date,full_date,"Calendar date in ISO format."
dim_date,day,"Day of month (1-31)."
dim_date,month,"Month number (1-12)."
dim_date,month_name,"Full month name (e.g., January)."
dim_date,quarter,"Fiscal/calendar quarter (1-4)."
dim_date,year,"Calendar year."
dim_date,day_name,"Weekday name (e.g., Monday)."
dim_date,is_weekend,"Flags Saturday/Sunday - drives weekend demand uplift in the model."
dim_store,,"The 30 SariMart Express convenience-store branches across Metro Manila. Latitude/longitude power the stockout-risk heat map."
dim_store,store_key,"Unique branch identifier. Joins to fact_sales.store_key."
dim_store,city,"City/district where the branch is located (e.g., Makati CBD)."
dim_store,latitude,"Branch latitude - heat-map plotting coordinate."
dim_store,longitude,"Branch longitude - heat-map plotting coordinate."
dim_store,store_name,"Display name of the branch (e.g., SariMart Makati CBD)."
dim_store,traffic_tier,"Foot-traffic tier: 1 = residential, 2 = commercial, 3 = CBD/high-traffic. Scales baseline demand."
dim_category,,"Merchandise hierarchy used for category-level analysis and overstock/perishability reporting."
dim_category,category_key,"Unique category identifier. Referenced by dim_product.category_key and fact_sales.category_key."
dim_category,category_name,"Category name (e.g., Beverages, Ready-to-Eat)."
dim_category,department,"Higher-level grouping (Food & Drink or Non-Food)."
dim_category,is_perishable,"Flags categories with short shelf life - prioritized in expiry/overstock detection."
dim_supplier,,"Vendors supplying the SKUs. Lead time and reliability feed directly into the reorder-point calculation."
dim_supplier,supplier_key,"Unique supplier identifier. Referenced by dim_product.supplier_key and fact_sales.supplier_key."
dim_supplier,supplier_name,"Supplier display name (e.g., Supplier A)."
dim_supplier,country,"Country of origin / sourcing location."
dim_supplier,lead_time_days,"Days from order to delivery - key input to reorder point and safety stock."
dim_supplier,reliability_pct,"Historical on-time/in-full fulfilment rate (%). Lower reliability raises required safety stock."
dim_product,,"The merchandise catalog. Snowflaked to dim_category and dim_supplier; supplies cost, price, and demand parameters to the replenishment engine."
dim_product,product_key,"Unique SKU identifier. Joins to fact_sales.product_key."
dim_product,product_name,"SKU name/code (e.g., SKU-0012)."
dim_product,category_key,"Category the SKU belongs to."
dim_product,supplier_key,"Supplier that provides the SKU."
dim_product,unit_cost,"Purchase cost per unit - used for inventory valuation and order-cost estimates."
dim_product,case_pack,"Units per ordering case - recommended order quantities round up to this multiple."
dim_product,base_demand,"Baseline average daily units (tier-2 store) - seeds demand modeling."
dim_product,base_price,"Standard selling price per unit before promotions."
dim_product,lead_time_days,"Supplier lead time denormalized onto the SKU for convenient joins in the replenishment engine."
dim_promotion,,"Promotional offers applied at the point of sale. Key 0 represents No Promotion."
dim_promotion,promotion_key,"Unique promotion identifier (0 = No Promotion). Joins to fact_sales.promotion_key."
dim_promotion,promo_name,"Promotion display name (e.g., Payday Sale)."
dim_promotion,promo_type,"Promotion classification (Markdown, Bundle, Seasonal, None)."
dim_promotion,discount_pct,"Fractional discount applied to the selling price (0.00-0.20)."
dim_channel,,"How the sale was fulfilled - relevant for omnichannel demand and replenishment planning."
dim_channel,channel_key,"Unique channel identifier. Joins to fact_sales.channel_key."
dim_channel,channel_name,"Channel name (In-Store, Click & Collect, Delivery)."
dim_channel,is_digital,"Flags digitally-originated orders (Click & Collect, Delivery)."
fact_sales,,"The transactional core. Each row captures units sold and the on-hand stock snapshot for a store/SKU/day, with foreign keys to all seven dimensions. Drives reorder alerting, the heat map, and overstock detection."
fact_sales,sales_key,"Unique fact-row identifier (surrogate)."
fact_sales,date_key,"Date of the sale / inventory snapshot."
fact_sales,store_key,"Branch where the sale occurred."
fact_sales,product_key,"SKU sold."
fact_sales,category_key,"Category of the SKU (derived from product for consistency)."
fact_sales,supplier_key,"Supplier of the SKU (derived from product for consistency)."
fact_sales,promotion_key,"Promotion applied (0 if none)."
fact_sales,channel_key,"Channel through which the sale was made."
fact_sales,units_sold,"Units sold for the store/SKU/day - primary demand measure."
fact_sales,unit_price,"Actual selling price per unit (with promo-driven variance)."
fact_sales,sales_amount,"Net revenue = units_sold x unit_price x (1 - discount)."
fact_sales,cost_amount,"Cost of goods sold = units_sold x unit_cost."
fact_sales,on_hand_qty,"Current stock-on-hand snapshot - compared against the reorder point to flag replenishment."
fact_inventory_snapshot,,"Daily stock-on-hand snapshot at store x product x day grain, generated for the most recent snapshot window. This is the authoritative source of current stock position and powers all three use cases (reorder alerting, the heat map, and overstock detection). Because it is built at full grain, every store/SKU has a record every day - including out-of-stock items that have no sales rows. on_hand_qty is a semi-additive measure: do not sum it across dates; take the latest snapshot or an average."
fact_inventory_snapshot,inventory_key,"Unique snapshot-row identifier (surrogate)."
fact_inventory_snapshot,date_key,"Snapshot date."
fact_inventory_snapshot,store_key,"Branch the stock belongs to."
fact_inventory_snapshot,product_key,"SKU being counted."
fact_inventory_snapshot,supplier_key,"Supplier of the SKU (derived from product for consistency; supplies lead time)."
fact_inventory_snapshot,on_hand_qty,"Units physically on hand at the snapshot - compared to reorder_point to flag replenishment (semi-additive)."
fact_inventory_snapshot,units_in_transit,"Units already ordered but not yet received - added to on-hand when assessing coverage."
fact_inventory_snapshot,reorder_point,"Planning threshold = avg daily demand x lead time + safety stock. Stock at or below this triggers a reorder."
fact_inventory_snapshot,days_of_cover,"Derived = on_hand_qty / avg daily demand. Low = stockout risk; high = overstock."
silver_replenishment_recommendations,,"The single source of truth for replenishment. One row per store x SKU at the latest snapshot, holding the full calculation: demand, safety stock, reorder point, recommended order, stockout risk, and a status classification. Powers the executive overview and underpins the three use-case marts."
silver_replenishment_recommendations,date_key,"Snapshot date the recommendation is based on (latest available)."
silver_replenishment_recommendations,store_key,"Branch identifier (part of the business key)."
silver_replenishment_recommendations,store_name,"Branch display name (denormalized for reporting)."
silver_replenishment_recommendations,city,"City/district of the branch (denormalized)."
silver_replenishment_recommendations,latitude,"Branch latitude - feeds the stockout-risk heat map."
silver_replenishment_recommendations,longitude,"Branch longitude - feeds the stockout-risk heat map."
